Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,5903.26,5935.09,5829.53,5868.55,5868.55,3621680000.0
2025-01-03,5891.07,5949.34,5888.66,5942.47,5942.47,3667340000.0
2025-01-06,5982.81,6021.04,5960.01,5975.38,5975.38,4940120000.0
2025-01-07,5993.26,6000.68,5890.68,5909.03,5909.03,4517330000.0
2025-01-08,5910.66,5927.89,5874.78,5918.25,5918.25,4441740000.0
2025-01-10,5890.35,5890.35,5807.78,5827.04,5827.04,4751930000.0
2025-01-13,5782.02,5838.61,5773.31,5836.22,5836.22,4421200000.0
2025-01-14,5859.27,5871.92,5805.42,5842.91,5842.91,4142280000.0
2025-01-15,5905.21,5960.61,5905.21,5949.91,5949.91,4544570000.0
2025-01-16,5963.61,5964.69,5930.72,5937.34,5937.34,4285810000.0
2025-01-17,5995.4,6014.96,5978.44,5996.66,5996.66,4366830000.0
2025-01-21,6014.12,6051.51,6006.88,6049.24,6049.24,4702920000.0
2025-01-22,6081.39,6100.81,6076.13,6086.37,6086.37,4323040000.0
2025-01-23,6076.32,6118.73,6074.67,6118.71,6118.71,4432250000.0
2025-01-24,6121.43,6128.18,6088.74,6101.24,6101.24,4214250000.0
2025-01-27,5969.04,6017.17,5962.92,6012.28,6012.28,5198750000.0
2025-01-28,6026.97,6074.54,5994.63,6067.7,6067.7,4473640000.0
2025-01-29,6057.7,6062.83,6012.96,6039.31,6039.31,4115310000.0
2025-01-30,6050.75,6086.64,6027.46,6071.17,6071.17,4634620000.0
2025-01-31,6096.79,6120.91,6030.93,6040.53,6040.53,4843770000.0
2025-02-03,5969.65,6022.13,5923.93,5994.57,5994.57,4797210000.0
2025-02-04,5998.14,6042.48,5990.87,6037.88,6037.88,4410160000.0
2025-02-05,6020.45,6062.86,6007.06,6061.48,6061.48,4756250000.0
2025-02-06,6072.22,6084.03,6046.83,6083.57,6083.57,4847120000.0
2025-02-07,6083.13,6101.28,6019.96,6025.99,6025.99,4766900000.0
2025-02-10,6046.4,6073.38,6044.84,6066.44,6066.44,4458760000.0
2025-02-11,6049.32,6076.28,6042.34,6068.5,6068.5,4324880000.0
2025-02-12,6025.08,6063.0,6003.0,6051.97,6051.97,4627960000.0
2025-02-13,6060.59,6116.91,6050.95,6115.07,6115.07,4763800000.0
2025-02-14,6115.52,6127.47,6107.62,6114.63,6114.63,4335190000.0
2025-02-18,6121.6,6129.63,6099.51,6129.58,6129.58,4684980000.0
2025-02-19,6117.76,6147.43,6111.15,6144.15,6144.15,4562330000.0
2025-02-20,6134.5,6134.5,6084.59,6117.52,6117.52,4813690000.0
2025-02-21,6114.1,6114.82,6008.56,6013.13,6013.13,5434560000.0
2025-02-24,6026.69,6043.65,5977.83,5983.25,5983.25,4990120000.0
2025-02-25,5982.73,5992.65,5908.49,5955.25,5955.25,5374690000.0
2025-02-26,5970.87,6009.82,5932.69,5956.06,5956.06,4869580000.0
2025-02-27,5981.88,5993.69,5858.78,5861.57,5861.57,5057680000.0
2025-02-28,5856.74,5959.4,5837.66,5954.5,5954.5,6441140000.0
2025-03-03,5968.33,5986.09,5810.91,5849.72,5849.72,5613850000.0
2025-03-04,5811.98,5865.08,5732.59,5778.15,5778.15,6138110000.0
2025-03-05,5781.36,5860.59,5742.35,5842.63,5842.63,5285970000.0
2025-03-06,5785.87,5812.08,5711.64,5738.52,5738.52,5165080000.0
2025-03-07,5726.01,5783.01,5666.29,5770.2,5770.2,5705140000.0
2025-03-10,5705.37,5705.37,5564.02,5614.56,5614.56,6409370000.0
2025-03-11,5603.65,5636.3,5528.41,5572.07,5572.07,6221240000.0
2025-03-12,5624.84,5642.19,5546.09,5599.3,5599.3,5219830000.0
2025-03-13,5594.45,5597.78,5504.65,5521.52,5521.52,5018980000.0
2025-03-14,5563.85,5645.27,5563.85,5638.94,5638.94,4863180000.0
2025-03-17,5635.6,5703.52,5631.12,5675.12,5675.12,5031770000.0
2025-03-18,5654.53,5654.53,5597.76,5614.66,5614.66,4666270000.0
2025-03-19,5632.37,5715.33,5622.2,5675.29,5675.29,4660090000.0
2025-03-20,5646.92,5711.15,5632.33,5662.89,5662.89,4678420000.0
2025-03-21,5630.73,5670.84,5603.1,5667.56,5667.56,9367460000.0
2025-03-24,5718.08,5775.14,5718.08,5767.57,5767.57,4517990000.0
2025-03-25,5775.96,5786.95,5760.42,5776.65,5776.65,4467340000.0
2025-03-26,5771.66,5783.62,5694.41,5712.2,5712.2,4183140000.0
2025-03-27,5695.64,5732.28,5670.94,5693.31,5693.31,4403460000.0
2025-03-28,5679.2,5685.89,5572.42,5580.94,5580.94,4513330000.0
2025-03-31,5527.91,5627.56,5488.73,5611.85,5611.85,5257250000.0
2025-04-01,5597.53,5650.57,5558.52,5633.07,5633.07,4434500000.0
2025-04-02,5580.76,5695.31,5571.48,5670.97,5670.97,4243830000.0
2025-04-03,5492.74,5499.53,5390.83,5396.52,5396.52,7210470000.0
2025-04-04,5292.14,5292.14,5069.9,5074.08,5074.08,8853500000.0
2025-04-07,4953.79,5246.57,4835.04,5062.25,5062.25,8691980000.0
2025-04-08,5193.57,5267.47,4910.42,4982.77,4982.77,7408140000.0
2025-04-09,4965.28,5481.34,4948.43,5456.9,5456.9,9489600000.0
2025-04-10,5353.15,5353.15,5115.27,5268.05,5268.05,6677140000.0
2025-04-11,5255.56,5381.46,5220.77,5363.36,5363.36,5602550000.0
2025-04-14,5441.96,5459.46,5358.02,5405.97,5405.97,5031440000.0
2025-04-15,5411.99,5450.41,5386.44,5396.63,5396.63,4317110000.0
2025-04-16,5335.75,5367.24,5220.79,5275.7,5275.7,4607750000.0
2025-04-17,5305.45,5328.31,5255.58,5282.7,5282.7,4714880000.0
2025-04-21,5232.94,5232.94,5101.63,5158.2,5158.2,4226340000.0
2025-04-22,5207.67,5309.61,5207.67,5287.76,5287.76,4666950000.0
2025-04-23,5395.92,5469.69,5356.17,5375.86,5375.86,5371390000.0
2025-04-24,5381.38,5489.4,5371.96,5484.77,5484.77,4697710000.0
2025-04-25,5489.73,5528.11,5455.86,5525.21,5525.21,4236580000.0
2025-04-28,5529.22,5553.66,5468.64,5528.75,5528.75,4257880000.0
2025-04-29,5508.87,5571.95,5505.7,5560.83,5560.83,4747150000.0
2025-04-30,5499.44,5581.84,5433.24,5569.06,5569.06,5449490000.0
2025-05-01,5625.14,5658.91,5597.35,5604.14,5604.14,4935270000.0
2025-05-02,5645.88,5700.7,5642.28,5686.67,5686.67,4854380000.0
2025-05-05,5655.32,5683.38,5634.48,5650.38,5650.38,4358260000.0
2025-05-06,5605.87,5649.58,5586.04,5606.91,5606.91,4717260000.0
2025-05-07,5614.18,5654.73,5578.64,5631.28,5631.28,4987440000.0
2025-05-08,5663.6,5720.1,5635.38,5663.94,5663.94,5627400000.0
2025-05-09,5679.65,5691.69,5644.15,5659.91,5659.91,4645090000.0
2025-05-12,5807.2,5845.37,5786.08,5844.19,5844.19,6014580000.0
2025-05-13,5854.15,5906.64,5845.02,5886.55,5886.55,5516290000.0
2025-05-14,5896.74,5906.55,5872.11,5892.58,5892.58,5233450000.0
2025-05-15,5869.82,5924.21,5865.16,5916.93,5916.93,4991290000.0
2025-05-16,5929.09,5958.62,5907.36,5958.38,5958.38,4850850000.0
2025-05-19,5902.88,5968.61,5895.69,5963.6,5963.6,4144010000.0
2025-05-20,5944.66,5953.06,5909.26,5940.46,5940.46,4416850000.0
2025-05-21,5910.18,5938.37,5830.91,5844.61,5844.61,5254250000.0
2025-05-22,5841.26,5878.08,5825.82,5842.01,5842.01,5157050000.0
2025-05-23,5781.89,5829.51,5767.41,5802.82,5802.82,4662820000.0
2025-05-27,5854.07,5924.33,5854.07,5921.54,5921.54,5366380000.0
2025-05-28,5925.54,5939.92,5881.88,5888.55,5888.55,4665050000.0
2025-05-29,5939.96,5943.13,5873.8,5912.17,5912.17,4569750000.0
2025-05-30,5903.67,5922.14,5843.66,5911.69,5911.69,6378540000.0
2025-06-02,5896.68,5937.4,5861.43,5935.94,5935.94,4832240000.0
2025-06-03,5938.56,5981.35,5929.0,5970.37,5970.37,5026680000.0
2025-06-04,5978.94,5990.48,5966.11,5970.81,5970.81,4767050000.0
2025-06-05,5985.67,5999.7,5921.2,5939.3,5939.3,5091850000.0
2025-06-06,5987.06,6016.87,5978.63,6000.36,6000.36,4355710000.0
2025-06-09,6004.63,6021.31,5994.18,6005.88,6005.88,4642360000.0
2025-06-10,6009.91,6043.01,6000.28,6038.81,6038.81,4882880000.0
2025-06-11,6049.38,6059.4,6002.32,6022.24,6022.24,5111550000.0
2025-06-12,6009.9,6045.43,6003.88,6045.26,6045.26,4669500000.0
2025-06-13,6000.56,6026.16,5963.21,5976.97,5976.97,5258910000.0
2025-06-16,6004.0,6050.83,6004.0,6033.11,6033.11,5111710000.0
2025-06-17,6012.15,6023.25,5974.8,5982.72,5982.72,4955700000.0
2025-06-18,5987.93,6018.25,5971.89,5980.87,5980.87,5106470000.0
2025-06-20,5999.67,6018.2,5952.56,5967.84,5967.84,7451500000.0
2025-06-23,5969.67,6028.77,5943.23,6025.17,6025.17,5597000000.0
2025-06-24,6061.21,6101.76,6059.25,6092.18,6092.18,5443690000.0
2025-06-25,6104.23,6108.51,6080.09,6092.16,6092.16,5171110000.0
2025-06-26,6112.09,6146.52,6107.27,6141.02,6141.02,5308140000.0
2025-06-27,6150.7,6187.68,6132.35,6173.07,6173.07,7889350000.0
2025-06-30,6193.36,6215.08,6174.97,6204.95,6204.95,5782900000.0
2025-07-01,6187.25,6210.78,6177.97,6198.01,6198.01,6275310000.0
2025-07-02,6193.88,6227.6,6188.29,6227.42,6227.42,5645710000.0
2025-07-03,6246.46,6284.65,6246.46,6279.35,6279.35,3378110000.0
2025-07-07,6259.04,6262.07,6201.0,6229.98,6229.98,5236740000.0
2025-07-08,6234.03,6242.7,6217.75,6225.52,6225.52,5739030000.0
2025-07-09,6243.33,6269.16,6231.43,6263.26,6263.26,4813340000.0
2025-07-10,6266.8,6290.22,6251.44,6280.46,6280.46,5367350000.0
2025-07-11,6255.68,6269.44,6237.6,6259.75,6259.75,4656210000.0
2025-07-14,6255.15,6273.31,6239.22,6268.56,6268.56,4722250000.0
2025-07-15,6295.29,6302.04,6241.68,6243.76,6243.76,5133670000.0
2025-07-16,6254.5,6268.12,6201.59,6263.7,6263.7,5177460000.0
2025-07-17,6263.4,6304.69,6262.27,6297.36,6297.36,5512290000.0
2025-07-18,6312.95,6315.61,6285.27,6296.79,6296.79,5184700000.0
2025-07-21,6304.74,6336.08,6303.79,6305.6,6305.6,5010840000.0
2025-07-22,6306.6,6316.12,6281.71,6309.62,6309.62,5662040000.0
2025-07-23,6326.9,6360.64,6317.49,6358.91,6358.91,5642510000.0
2025-07-24,6368.6,6381.31,6360.57,6363.35,6363.35,5282720000.0
2025-07-25,6370.01,6395.82,6368.53,6388.64,6388.64,4470720000.0
2025-07-28,6397.69,6401.07,6375.79,6389.77,6389.77,4565620000.0
2025-07-29,6405.62,6409.26,6363.92,6370.86,6370.86,5076120000.0
2025-07-30,6381.23,6396.54,6336.38,6362.9,6362.9,5375070000.0
2025-07-31,6427.02,6427.02,6327.64,6339.39,6339.39,6077080000.0
2025-08-01,6287.28,6287.28,6212.69,6238.01,6238.01,5827150000.0
2025-08-04,6271.71,6330.69,6271.71,6329.94,6329.94,4842580000.0
2025-08-05,6336.63,6346.0,6289.37,6299.19,6299.19,5517410000.0
2025-08-06,6309.3,6352.83,6301.11,6345.06,6345.06,5408560000.0
2025-08-07,6374.32,6389.71,6310.32,6340.0,6340.0,5306090000.0
2025-08-08,6355.22,6395.16,6355.22,6389.45,6389.45,4769910000.0
2025-08-11,6389.67,6407.25,6364.06,6373.45,6373.45,4652400000.0
2025-08-12,6395.17,6446.55,6385.76,6445.76,6445.76,5135300000.0
2025-08-13,6462.67,6480.28,6445.02,6466.58,6466.58,5195950000.0
2025-08-14,6453.46,6473.92,6441.07,6468.54,6468.54,4462050000.0
2025-08-15,6477.38,6481.34,6441.85,6449.8,6449.8,4575060000.0
2025-08-18,6445.02,6455.35,6437.7,6449.15,6449.15,4162290000.0
2025-08-19,6446.24,6456.48,6400.22,6411.37,6411.37,4377440000.0
2025-08-20,6406.62,6408.4,6343.86,6395.78,6395.78,4470390000.0
2025-08-21,6380.83,6393.65,6352.71,6370.17,6370.17,4013560000.0
2025-08-22,6384.59,6478.89,6384.59,6466.91,6466.91,5046860000.0
2025-08-25,6457.67,6466.89,6438.06,6439.32,6439.32,4059070000.0
2025-08-26,6435.49,6468.37,6429.21,6465.94,6465.94,4867680000.0
2025-08-27,6462.26,6487.06,6457.84,6481.4,6481.4,4143680000.0
2025-08-28,6483.84,6508.23,6466.96,6501.86,6501.86,4283760000.0
2025-08-29,6489.28,6491.76,6444.57,6460.26,6460.26,4234840000.0
2025-09-02,6401.51,6416.54,6360.58,6415.54,6415.54,4784000000.0
2025-09-03,6445.82,6453.67,6416.17,6448.26,6448.26,4465360000.0
2025-09-04,6456.6,6502.54,6445.98,6502.08,6502.08,4670770000.0
2025-09-05,6529.08,6532.65,6443.98,6481.5,6481.5,5066120000.0
2025-09-08,6498.09,6508.67,6483.29,6495.15,6495.15,5211500000.0
2025-09-09,6503.33,6518.23,6483.08,6512.61,6512.61,4798350000.0
2025-09-10,6550.29,6555.97,6516.34,6532.04,6532.04,5253010000.0
2025-09-11,6554.41,6592.89,6545.8,6587.47,6587.47,5426460000.0
2025-09-12,6590.66,6600.21,6579.49,6584.29,6584.29,4641640000.0
2025-09-15,6603.49,6619.62,6602.07,6615.28,6615.28,5045020000.0
2025-09-16,6624.13,6626.99,6600.11,6606.76,6606.76,5359510000.0
2025-09-17,6604.87,6624.39,6551.15,6600.35,6600.35,5805340000.0
2025-09-18,6626.85,6656.8,6611.89,6631.96,6631.96,5292400000.0
2025-09-19,6647.11,6671.82,6630.31,6664.36,6664.36,9125960000.0
2025-09-22,6654.28,6698.88,6648.07,6693.75,6693.75,5642620000.0
2025-09-23,6692.44,6699.52,6645.58,6656.92,6656.92,5633620000.0
2025-09-24,6669.79,6672.66,6621.76,6637.97,6637.97,5459180000.0
2025-09-25,6608.19,6619.0,6569.22,6604.72,6604.72,5874670000.0
2025-09-26,6615.38,6648.97,6604.43,6643.7,6643.7,5103110000.0
2025-09-29,6661.58,6677.31,6644.49,6661.21,6661.21,5358760000.0
2025-09-30,6656.19,6691.25,6641.0,6688.46,6688.46,6057210000.0
2025-10-01,6664.92,6718.48,6656.2,6711.2,6711.2,6037950000.0
2025-10-02,6731.31,6731.94,6693.23,6715.35,6715.35,5416130000.0
2025-10-03,6722.14,6750.87,6705.67,6715.79,6715.79,5713110000.0
2025-10-06,6733.86,6749.52,6717.78,6740.28,6740.28,5604460000.0
2025-10-07,6746.14,6754.49,6699.96,6714.59,6714.59,5546150000.0
2025-10-08,6723.87,6755.64,6718.09,6753.72,6753.72,5383130000.0
2025-10-09,6760.5,6764.58,6716.17,6735.11,6735.11,5385020000.0
2025-10-10,6740.49,6762.4,6550.78,6552.51,6552.51,6596610000.0
2025-10-13,6622.53,6668.68,6620.71,6654.72,6654.72,5303960000.0
2025-10-14,6602.49,6680.7,6555.07,6644.31,6644.31,5666920000.0
2025-10-15,6688.27,6724.12,6612.11,6671.06,6671.06,5633060000.0
2025-10-16,6689.02,6709.34,6593.99,6629.07,6629.07,6048180000.0
2025-10-17,6613.27,6678.88,6603.76,6664.01,6664.01,5358120000.0
2025-10-20,6690.05,6744.35,6690.05,6735.13,6735.13,4672170000.0
2025-10-21,6736.75,6752.16,6722.03,6735.35,6735.35,5245020000.0
2025-10-22,6741.34,6741.75,6655.69,6699.4,6699.4,5710010000.0
2025-10-23,6703.65,6749.53,6700.14,6738.44,6738.44,5565750000.0
2025-10-24,6772.07,6807.11,6772.07,6791.69,6791.69,5058220000.0
2025-10-27,6845.46,6877.28,6843.94,6875.16,6875.16,5290650000.0
2025-10-28,6897.74,6911.3,6870.73,6890.89,6890.89,5695930000.0
2025-10-29,6910.95,6920.34,6851.91,6890.59,6890.59,6280130000.0
2025-10-30,6860.5,6880.75,6820.69,6822.34,6822.34,6052700000.0
2025-10-31,6879.17,6879.17,6814.26,6840.2,6840.2,6398280000.0
2025-11-03,6882.32,6882.32,6820.62,6851.97,6851.97,6065720000.0
2025-11-04,6788.52,6820.21,6766.71,6771.55,6771.55,5739510000.0
2025-11-05,6769.77,6829.78,6763.11,6796.29,6796.29,5939600000.0
2025-11-06,6787.59,6796.68,6707.51,6720.32,6720.32,3602126000.0
